# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  100 1988.46 668.789 297.794
  101 2008.46 665.258 297.636
  102 2028.46 653.817 296.659
  103 2048.46 648.889 297.068
  104 2068.46 648.093 297.235
  105 2088.46 650.772 296.922
  106 2108.46 660.737 296.544
  107 2128.46 667.975 295.864
  108 2148.46 660.95 295.082
  109 2168.46 653.155 294.902
  110 2188.46 648.336 294.236
  111 2208.46 648.561 293.871
  112 2228.46 654.005 293.918
  113 2248.46 663.985 292.953
  114 2268.46 666.833 292.178
  115 2288.46 657.628 290.924
  116 2308.46 650.881 290.669
  117 2328.46 648.33 290.483
  118 2348.46 649.87 288.931
  119 2368.46 656.017 286.409
  120 2388.46 665.383 283.584
  121 2408.46 664.966 278.97
  122 2428.46 655.944 285.138
  123 2448.46 649.569 287.953
  124 2468.46 648.312 289.1
  125 2488.46 650.387 289.988
  126 2508.46 659.355 290.913
  127 2528.46 667.884 291.799
  128 2548.46 662.511 292.296
  129 2568.46 653.229 292.663
  130 2588.46 648.353 292.564
  131 2608.46 648.573 293.613
  132 2628.46 652.634 293.959
  133 2648.46 664.295 294.316
  134 2668.46 667.263 294.633
  135 2688.46 658.854 294.634
  136 2708.46 650.233 295.09
  137 2728.46 648.162 296.259
  138 2748.46 649.009 296.512
  139 2768.46 657.157 296.488
  140 2788.46 666.558 297.11
  141 2808.46 664.656 297.068
  142 2828.46 655.584 297.598
  143 2848.46 648.975 298.227
  144 2868.46 648.129 298.96
  145 2888.46 650.414 298.767
  146 2908.46 660.637 299.06
  147 2928.46 667.157 299.006
  148 2948.46 662.608 299.147
  149 2968.46 652.668 299.184
  150 2988.46 648.499 299.472
  151 3008.46 648.817 299.159
  152 3028.46 652.919 299.522
  153 3048.46 664.132 299.966
  154 3068.46 668.047 300.333
  155 3088.46 657.944 300.362
  156 3108.46 649.963 301.272
  157 3128.46 648.261 301.344
  158 3148.46 649.731 301.464
  159 3168.46 655.654 302.256
  160 3188.46 667.516 302.422
  161 3208.46 321.683 302.637
5000000 161
  1 8.45849 666.103 303.161
  2 28.4585 653.575 303.056
  3 48.4585 649.059 302.956
  4 68.4585 648.127 304.449
  5 88.4585 649.909 304.692
  6 108.458 659.493 304.56
  7 128.458 671.466 304.804
  8 148.458 661.672 305.581
  9 168.458 651.137 305.267
  10 188.458 648.264 305.361
  11 208.458 648.227 305.453
  12 228.458 651.79 305.347
  13 248.458 664.397 305.879
  14 268.458 672.038 306.282
  15 288.458 656.667 307.018
  16 308.458 648.877 307.159
  17 328.458 648.11 307.282
  18 348.458 649.413 307.692
  19 368.458 655.506 307.408
  20 388.458 667.583 308.026
  21 408.458 668.363 307.918
  22 428.458 652.887 308.314
  23 448.458 648.145 308.724
  24 468.458 648.252 309.291
  25 488.458 650.729 309.076
  26 508.458 658.931 309.825
  27 528.458 670.674 310.251
  28 548.458 662.749 310.708
  29 568.458 650.471 311.207
  30 588.458 648.193 311.843
  31 608.458 648.388 312.093
  32 628.458 653.195 312.577
  33 648.458 665.88 312.728
  34 668.458 669.201 313.838
  35 688.458 655.862 315.014
  36 708.458 649.394 315.921
  37 728.458 648.084 317.377
  38 748.458 648.707 318.659
  39 768.458 657.19 319.59
  40 788.458 670.104 324.18
  41 808.458 664.156 329.211
  42 828.458 652.986 321.644
  43 848.458 648.801 318.418
  44 868.458 648.087 316.139
  45 888.458 649.664 315.376
  46 908.458 661.704 314.221
  47 928.458 669.786 313.656
  48 948.458 660.861 313.125
  49 968.458 651.707 312.238
  50 988.458 648.282 312.18
  51 1008.46 648.207 311.444
  52 1028.46 651.087 310.413
  53 1048.46 666.22 310.11
  54 1068.46 668.298 310.512
  55 1088.46 658.203 309.398
  56 1108.46 649.907 309.181
  57 1128.46 648.118 309.224
  58 1148.46 649.07 308.856
  59 1168.46 654.844 308.488
  60 1188.46 668.083 308.81
  61 1208.46 666.758 307.731
  62 1228.46 654.387 307.857
  63 1248.46 648.762 307.806
  64 1268.46 648.207 307.616
  65 1288.46 650.127 306.981
  66 1308.46 657.949 307.33
  67 1328.46 668.87 306.316
  68 1348.46 664.436 305.683
  69 1368.46 652.008 305.322
  70 1388.46 648.411 305.045
  71 1408.46 648.397 304.368
  72 1428.46 652.088 304.972
  73 1448.46 662.25 304.728
  74 1468.46 668.106 303.735
  75 1488.46 660.496 303.303
  76 1508.46 650.47 303.103
  77 1528.46 648.225 303.172
  78 1548.46 648.617 302.93
  79 1568.46 653.876 303.352
  80 1588.46 667.643 303.357
  81 1608.46 667.469 302.596
  82 1628.46 655.166 302.063
  83 1648.46 649.131 301.792
  84 1668.46 648.108 301.261
  85 1688.46 649.017 301.218
  86 1708.46 656.59 301.037
  87 1728.46 670.931 300.814
  88 1748.46 664.797 299.99
  89 1768.46 652.114 299.616
  90 1788.46 648.496 299.564
  91 1808.46 648.043 299.158
  92 1828.46 649.933 298.354
